question,retrieved_sources,answer,correct
"What is the goal of this data visualization course, in terms of datasets, questions, and answers?",lecture_1.txt,"The goal of this data visualization course is to help students achieve a specific objective by answering audience questions regarding a dataset, using visualizations that tell a story or answer a specific question in seconds.

Specifically, the course aims to guide students through six steps: introducing the dataset, collecting questions from the audience, selecting the most accurate visualization chart using the cognitive load principle, drawing the chart using various methods (pencil, paper, and Python libraries), and evaluating the selected chart using the concept of ""storytelling"".

This goal is stated in the lecture notes as: ""Datasets -> Questions -> Visualization -> Answers"" and is elaborated upon in the subsequent steps.",True
What are the 6 steps we should follow to go from a dataset to an answer?,"lecture_1.txt, lecture_3.txt","According to the context, the 6 steps to achieve the goal are:

1. Introduce the dataset (see [1])
2. Collect all the questions set by the audience regarding the dataset (see [1])
3. Select the most accurate visualization chart using the cognitive load principle (see [1])
4. Draw the chart using a pencil and a plain paper (see [1])
5. Draw the chart using a Python library (Plotly, Seaborn, Matplotlib) (see [1])
6. Evaluating the selected chart by using the concept of “story telling” and getting answers (see [1])

There are no additional steps mentioned in the provided context.",False
What is the difference between a drag/drop-driven approach and a code-driven approach?,lecture_1.txt,"According to the context, a drag/drop-driven approach is described as the method used by Power BI and Tableau, which are ""Business Intelligence"" (BI) tools. This approach is characterized by a ""drag-and-drop UI"" and is suitable for business analysts/managers who need to create dashboards quickly. (see [2])

On the other hand, a code-driven approach is described as the method used by Python Libraries (Matplotlib, Seaborn, Plotly), which requires writing code. This approach is more suitable for data scientists/engineers who need to create complex, custom AI/ML pipelines, and is characterized by being more accurate and allowing the entire pipeline to be kept in one environment (like a Jupyter Notebook). (see [2], [3])",True
When should I use a bar chart instead of a column chart?,"lecture_2.txt, lecture_3.txt","According to the context, a bar chart should be used when showing a list from best to worst, especially when there are many/long names (see [3]).",True
What are the guidelines for drawing a good bar chart?,"lecture_2.txt, lecture_3.txt","According to the guidelines, a good bar chart should have the following characteristics:

* A black frame surrounding the data area (Rule 1)
* The Y-axis must start at 0 (Rule 2)
* All labels in the chart, except the Y-axis, must be horizontal for easy reading (Rule 3)
* The specific value (e.g., ""82M"") should be placed directly on or above each bar (Rule 4)
* A legend should be included to explain what the bar colors represent (Rule 5)
* Every chart needs three clear titles: a Main Title, an X-axis Title, and a Y-axis Title (Rule 6)
* A uniform light color (e.g., lightblue) should be used for most bars, with a different light color (e.g., lightgreen) for the Highest/Lowest, and black for all chart titles and labels (Rule 7)
* Gridlines should be drawn to assist in reading the values (Rule 8)
* The bar chart should be ordered to show magnitudes from top to bottom or vice versa, based on the question's type (Rule 9).

Reference: (see [1], [2], and [3])",True
What is 'chart junk' and why does it matter?,"lecture_1.txt, lecture_3.txt, lecture_5.txt","According to the context, ""chart junk"" refers to all visual elements in a chart that are not necessary to highlight the story or that distract the audience from the main point. This includes elements such as heavy gridlines, 3D effects on bars, unnecessary background images, or decorative icons that don't represent data. ""(see [1])""",True
What is the difference between magnitude and cardinality?,"lecture_3.txt, lecture_5.txt","Magnitude refers to the ""bigness"" or relative size of something, as described as a quantitative measure, whereas cardinality refers to the number of unique values in a dataset, such as the number of GPS coordinates or categories.

(Source: lecture_5.txt and lecture_3.txt)",True
When should I use a stacked chart versus a clustered chart?,lecture_4.txt,"Based on the context, a stacked chart is used when you want to show how a total amount is divided into different sub-groups or segments, and the primary goal is to show the total magnitude of a category while simultaneously showing the internal segments. This is stated in the ""Total/Internal Segments Relationship"" rule under ""When to use a stacked chart?"" in source [1] and [3].",True
What color strategy should I use for a stacked chart?,lecture_4.txt,"According to the guidelines for a stacked chart (see [1]), the color strategy should use ""lighter and darker versions of the same color"" for the segments, such as ""lightblue"", ""steelblue"", and ""blue"" for all the bars, and a different color (e.g., ""lightgreen"", ""seagreen"", and ""green"") for the Highest/Lowest. Additionally, black should be used for all chart titles and labels.",True
When is a scatter plot the right choice for a dataset?,lecture_5.txt,"A scatter plot is the right choice for a dataset when the data is numerical, continuous, and high cardinality (see [1], page 3). This is because scatter plots are used to visualize the relationship between two continuous variables to spot patterns or ""freak"" occurrences (see [4], ""Reason for Use"" for Scatter chart).",True
What is the difference between correlation and cardinality?,lecture_5.txt,"Correlation refers to a statistical measure that describes the size and direction of a relationship between two variables, indicating if they ""move together"" (positive correlation), ""move apart"" (negative correlation), or show no predictable effect on each other (no correlation) (see [1]).

Cardinality, on the other hand, refers to the number of unique values in a dataset, with high cardinality indicating a column with a high percentage of unique values and low cardinality indicating a column with few unique values or categories (see [1], [4]).

Therefore, correlation is a measure of the relationship between two variables, while cardinality is a measure of the number of distinct values in a dataset.",True
"What is overplotting, and how can jittering or binning help with it?",lecture_5.txt,"Overplotting occurs when data points in a chart overlap to the extent that individual points are no longer distinguishable, and the true density of the data cannot be seen. This is often the case with low cardinality or discrete data. (see [1])

To alleviate overplotting, jittering can be used, which adds a small amount of random ""noise"" to the position of each data point to ""shake"" them apart. Alternatively, binning can be used, where the data is divided into categories or ""buckets"", reducing the density of the data points. (see [1])",False
